No.,QRCODE,SLOT_NO,MAIN_LOADING_TIME,FIRST_IN_DATETIME,LAST_IN_DATETIME,QRCODE
230,A11F2S2642212544,1,2026-08-19 16:04,04:54.0,04:54.0,A11F2S2642212544
231,A11F2S2642212535,4,2026-08-19 16:04,04:54.0,04:54.0,A11F2S2642212535
232,A11F2S2642212550,5,2026-08-19 16:04,04:54.0,04:54.0,A11F2S2642212550
233,A11F2S2642212537,2,2026-08-19 16:04,04:54.0,04:54.0,A11F2S2642212537
234,A11F2S2642212536,3,2026-08-19 16:04,04:54.0,04:54.0,A11F2S2642212536
235,A11F2S2642211950,2,2026-08-19 16:04,04:46.0,04:46.0,A11F2S2642211950
236,A11F2S2642211951,1,2026-08-19 16:04,04:46.0,04:46.0,A11F2S2642211951
237,A11F2S2642212555,5,2026-08-19 16:04,04:46.0,04:46.0,A11F2S2642212555
238,A11F2S2642212551,4,2026-08-19 16:04,04:46.0,04:46.0,A11F2S2642212551
239,A11F2S2642212545,6,2026-08-19 16:04,04:46.0,04:46.0,A11F2S2642212545
240,A11F2S2642211961,3,2026-08-19 16:04,04:46.0,04:46.0,A11F2S2642211961
241,A11F2S2642211956,2,2026-08-19 16:04,04:38.0,04:38.0,A11F2S2642211956
242,A11F2S2642211965,5,2026-08-19 16:04,04:38.0,04:38.0,A11F2S2642211965
243,A11F2S2642211952,6,2026-08-19 16:04,04:38.0,04:38.0,A11F2S2642211952
244,A11F2S2642211966,4,2026-08-19 16:04,04:38.0,04:38.0,A11F2S2642211966
245,A11F2S2642211967,3,2026-08-19 16:04,04:38.0,04:38.0,A11F2S2642211967
246,A11F2S2642211957,1,2026-08-19 16:04,04:38.0,04:38.0,A11F2S2642211957
247,A11F2S2642211954,4,2026-08-19 16:04,04:30.0,04:30.0,A11F2S2642211954
248,A11F2S2642211945,2,2026-08-19 16:04,04:30.0,04:30.0,A11F2S2642211945
249,A11F2S2642211946,1,2026-08-19 16:04,04:30.0,04:30.0,A11F2S2642211946
250,A11F2S2642211941,6,2026-08-19 16:04,04:30.0,04:30.0,A11F2S2642211941
251,A11F2S2642211944,3,2026-08-19 16:04,04:30.0,04:30.0,A11F2S2642211944
252,A11F2S2642211953,5,2026-08-19 16:04,04:30.0,04:30.0,A11F2S2642211953
253,A11F2S2642212534,3,2026-08-19 16:04,04:22.0,04:22.0,A11F2S2642212534
254,A11F2S2642211947,6,2026-08-19 16:04,04:22.0,04:22.0,A11F2S2642211947
255,A11F2S2642211960,4,2026-08-19 16:04,04:22.0,04:22.0,A11F2S2642211960
256,A11F2S2642211959,5,2026-08-19 16:04,04:22.0,04:22.0,A11F2S2642211959
257,A11F2S2642212523,2,2026-08-19 16:04,04:22.0,04:22.0,A11F2S2642212523
258,A11F2S2642212524,1,2026-08-19 16:04,04:22.0,04:22.0,A11F2S2642212524
259,A11F2S2642212525,6,2026-08-19 16:04,04:14.0,04:14.0,A11F2S2642212525
260,A11F2S2642212530,2,2026-08-19 16:04,04:14.0,04:14.0,A11F2S2642212530
261,A11F2S2642212529,3,2026-08-19 16:04,04:14.0,04:14.0,A11F2S2642212529
262,A11F2S2642212546,5,2026-08-19 16:04,04:14.0,04:14.0,A11F2S2642212546
263,A11F2S2642212531,1,2026-08-19 16:04,04:14.0,04:14.0,A11F2S2642212531
264,A11F2S2642212540,4,2026-08-19 16:04,04:14.0,04:14.0,A11F2S2642212540
265,A11F2S2642212517,3,2026-08-19 16:03,04:05.0,04:05.0,A11F2S2642212517
